sample_id	cram	crai	population
HG00097	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240115/HG00097.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240115/HG00097.final.cram.crai	GBR
HG00099	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240116/HG00099.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240116/HG00099.final.cram.crai	GBR
HG00126	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240199/HG00126.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240199/HG00126.final.cram.crai	GBR
HG00128	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240136/HG00128.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240136/HG00128.final.cram.crai	GBR
HG00133	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240141/HG00133.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240141/HG00133.final.cram.crai	GBR
HG00140	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240146/HG00140.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240146/HG00140.final.cram.crai	GBR
HG00146	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240151/HG00146.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240151/HG00146.final.cram.crai	GBR
HG00232	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240202/HG00232.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240202/HG00232.final.cram.crai	GBR
HG00235	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240179/HG00235.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240179/HG00235.final.cram.crai	GBR
HG00253	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240211/HG00253.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240211/HG00253.final.cram.crai	GBR
HG00272	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240228/HG00272.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240228/HG00272.final.cram.crai	FIN
HG00280	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241788/HG00280.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241788/HG00280.final.cram.crai	FIN
