sample_id	cram	crai	population
HG00119	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240194/HG00119.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240194/HG00119.final.cram.crai	GBR
HG00138	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240144/HG00138.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240144/HG00138.final.cram.crai	GBR
HG00267	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240224/HG00267.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240224/HG00267.final.cram.crai	FIN
HG00360	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240261/HG00360.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240261/HG00360.final.cram.crai	FIN
HG00592	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241709/HG00592.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241709/HG00592.final.cram.crai	CHS
HG00740	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241759/HG00740.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241759/HG00740.final.cram.crai	PUR
HG01048	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241761/HG01048.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241761/HG01048.final.cram.crai	PUR
HG01080	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241768/HG01080.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241768/HG01080.final.cram.crai	PUR
HG01119	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242784/HG01119.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242784/HG01119.final.cram.crai	CLM
HG01136	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241834/HG01136.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241834/HG01136.final.cram.crai	CLM
HG01170	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241842/HG01170.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241842/HG01170.final.cram.crai	PUR
HG01183	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241849/HG01183.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241849/HG01183.final.cram.crai	PUR
HG01191	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241853/HG01191.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241853/HG01191.final.cram.crai	PUR
HG01323	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242756/HG01323.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242756/HG01323.final.cram.crai	PUR
HG01372	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242797/HG01372.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242797/HG01372.final.cram.crai	CLM
HG01398	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242781/HG01398.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242781/HG01398.final.cram.crai	PUR
HG01432	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242799/HG01432.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242799/HG01432.final.cram.crai	CLM
HG01515	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241926/HG01515.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241926/HG01515.final.cram.crai	IBS
HG01525	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241933/HG01525.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241933/HG01525.final.cram.crai	IBS
HG01565	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241984/HG01565.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241984/HG01565.final.cram.crai	PEL
HG01596	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242063/HG01596.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242063/HG01596.final.cram.crai	KHV
HG01599	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242066/HG01599.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242066/HG01599.final.cram.crai	KHV
HG01615	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241951/HG01615.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241951/HG01615.final.cram.crai	IBS
