sample_id	cram	crai	population
HG00108	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240124/HG00108.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240124/HG00108.final.cram.crai	GBR
HG00142	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240148/HG00142.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240148/HG00142.final.cram.crai	GBR
HG00178	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240165/HG00178.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240165/HG00178.final.cram.crai	FIN
HG00233	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240177/HG00233.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240177/HG00233.final.cram.crai	GBR
HG00250	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241781/HG00250.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241781/HG00250.final.cram.crai	GBR
HG00335	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240243/HG00335.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240243/HG00335.final.cram.crai	FIN
HG00379	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241660/HG00379.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241660/HG00379.final.cram.crai	FIN
HG00383	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241803/HG00383.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241803/HG00383.final.cram.crai	FIN
HG00542	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241693/HG00542.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241693/HG00542.final.cram.crai	CHS
HG00650	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241730/HG00650.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241730/HG00650.final.cram.crai	CHS
HG00657	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241735/HG00657.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241735/HG00657.final.cram.crai	CHS
HG00684	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241741/HG00684.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241741/HG00684.final.cram.crai	CHS
HG00707	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241751/HG00707.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241751/HG00707.final.cram.crai	CHS
HG00732	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241755/HG00732.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241755/HG00732.final.cram.crai	PUR
HG00736	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241756/HG00736.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241756/HG00736.final.cram.crai	PUR
HG00881	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242135/HG00881.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242135/HG00881.final.cram.crai	CDX
HG01365	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241892/HG01365.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241892/HG01365.final.cram.crai	CLM
HG01383	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241882/HG01383.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241882/HG01383.final.cram.crai	CLM
HG01396	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242762/HG01396.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242762/HG01396.final.cram.crai	PUR
HG01441	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241901/HG01441.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241901/HG01441.final.cram.crai	CLM
HG01443	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242801/HG01443.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242801/HG01443.final.cram.crai	CLM
HG01491	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241910/HG01491.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241910/HG01491.final.cram.crai	CLM
HG01572	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241987/HG01572.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241987/HG01572.final.cram.crai	PEL
HG01773	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242123/HG01773.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242123/HG01773.final.cram.crai	IBS
HG01776	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242125/HG01776.final.cram	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3242125/HG01776.final.cram.crai	IBS
